iter	Passed	Remaining
1453	31444	401083
1454	31468	401082
1455	31491	401084
1456	31511	401042
1457	31533	401026
1458	31553	400984
1459	31575	400963
1460	31594	400908
1461	31618	400921
1462	31643	400934
1463	31665	400923
1464	31687	400908
1465	31712	400925
1466	31738	400965
1467	31763	400987
1468	31785	400966
1469	31807	400945
1470	31829	400925
1471	31851	400913
1472	31872	400886
1473	31893	400851
1474	31911	400788
1475	31932	400757
1476	31954	400737
1477	31975	400710
1478	31996	400681
1479	32017	400653
1480	32037	400608
1481	32057	400566
1482	32077	400526
1483	32099	400513
1484	32119	400471
1485	32140	400438
1486	32161	400402
1487	32182	400380
1488	32202	400342
1489	32223	400312
1490	32244	400271
1491	32264	400238
1492	32284	400191
1493	32305	400161
1494	32326	400138
1495	32348	400120
1496	32368	400080
1497	32393	400097
1498	32414	400072
1499	32436	400053
1500	32460	400062
1501	32481	400028
1502	32503	400014
1503	32525	399993
1504	32545	399948
1505	32567	399940
1506	32589	399913
1507	32608	399867
1508	32628	399817
1509	32647	399772
1510	32668	399743
1511	32689	399707
1512	32710	399677
1513	32732	399662
1514	32752	399628
1515	32773	399595
1516	32797	399608
1517	32818	399571
1518	32840	399560
1519	32862	399538
1520	32884	399518
1521	32904	399482
1522	32925	399451
1523	32946	399420
1524	32968	399401
1525	32990	399388
1526	33011	399353
1527	33033	399342
1528	33053	399299
1529	33073	399258
1530	33094	399230
1531	33113	399183
1532	33136	399169
1533	33157	399139
1534	33179	399123
1535	33199	399081
1536	33221	399068
1537	33241	399028
1538	33261	398991
1539	33283	398963
1540	33304	398935
1541	33324	398903
1542	33346	398881
1543	33367	398849
1544	33387	398816
1545	33408	398783
1546	33428	398748
1547	33448	398704
1548	33467	398655
1549	33487	398614
1550	33508	398580
1551	33530	398566
1552	33552	398549
1553	33575	398540
1554	33597	398529
1555	33618	398491
1556	33637	398446
1557	33657	398406
1558	33681	398415
1559	33702	398379
1560	33723	398346
1561	33747	398356
1562	33767	398314
1563	33788	398283
1564	33808	398252
1565	33829	398225
1566	33849	398177
1567	33870	398147
1568	33890	398113
1569	33912	398091
1570	33933	398062
1571	33954	398042
1572	33975	398013
1573	33998	397997
1574	34019	397974
1575	34039	397929
1576	34060	397906
1577	34080	397864
1578	34101	397832
1579	34121	397794
1580	34142	397768
1581	34162	397723
1582	34183	397696
1583	34204	397666
1584	34225	397637
1585	34245	397596
1586	34264	397552
1587	34285	397517
1588	34304	397467
1589	34326	397454
1590	34346	397411
1591	34367	397383
1592	34388	397351
1593	34410	397334
1594	34431	397315
1595	34453	397293
1596	34474	397263
1597	34495	397239
1598	34516	397210
1599	34535	397160
1600	34555	397123
1601	34575	397077
1602	34598	397068
1603	34619	397043
1604	34646	397082
1605	34668	397073
1606	34689	397036
1607	34712	397037
1608	34733	397001
1609	34753	396961
1610	34774	396933
1611	34795	396907
1612	34816	396879
1613	34838	396861
1614	34858	396827
1615	34880	396805
1616	34899	396756
1617	34920	396730
1618	34942	396716
1619	34964	396699
1620	34984	396656
1621	35005	396629
1622	35025	396593
1623	35046	396565
1624	35067	396536
1625	35088	396507
1626	35109	396477
1627	35129	396438
1628	35149	396402
1629	35171	396377
1630	35191	396336
1631	35212	396309
1632	35232	396277
1633	35255	396263
1634	35275	396233
1635	35295	396189
1636	35316	396157
1637	35337	396136
1638	35358	396100
1639	35379	396076
1640	35398	396026
1641	35418	395991
1642	35438	395951
1643	35458	395907
1644	35479	395885
1645	35501	395869
1646	35523	395853
1647	35544	395816
1648	35563	395775
1649	35597	395892
1650	35635	396051
1651	35662	396087
1652	35688	396116
1653	35714	396143
1654	35740	396168
1655	35767	396208
1656	35788	396176
1657	35813	396194
1658	35835	396172
1659	35859	396187
1660	35881	396163
1661	35903	396143
1662	35924	396124
